sample_accession	run_accession	assembly_accession	assembly_seqkit_sum	asm_pipe_filter	asm_fasta_on_osf	dataset	scientific_name	sylph_species_pre_202505	in_hq_pre_202505	sylph_species	sylph_filter	hq_filter	osf_tarball_filename	osf_tarball_url	aws_url	comments
SAMEA6262319	ERR3697139	ERZ26390716	seqkit.v0.1_DLS_k0_e77bdf1a1c621316e44da114bfe6a42e	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Stenotrophomonas maltophilia	T	Stenotrophomonas maltophilia	PASS	PASS	atb.assembly.incr_release.202408.batch.192.tar.xz	https://osf.io/download/66d9ba3eb673b30bb3a3cae3/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMEA6262319.fa.gz	
SAMEA6262320	ERR3697140	ERZ26390727	seqkit.v0.1_DLS_k0_c25fb2c72a1fa99a36e01986505a2331	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Stenotrophomonas maltophilia	T	Stenotrophomonas maltophilia	PASS	PASS	atb.assembly.incr_release.202408.batch.192.tar.xz	https://osf.io/download/66d9ba3eb673b30bb3a3cae3/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMEA6262320.fa.gz	
SAMN33269494	SRR23437151	ERZ26476718	seqkit.v0.1_DLS_k0_7997c7d9452e2562b62699617059ea80	PASS	1	Incr_release.202408	Pseudomonas aeruginosa PAO1	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33269494.fa.gz	
SAMN33269495	SRR23437150	ERZ26476723	seqkit.v0.1_DLS_k0_17548b68f79b1d40efb1fe8abade277f	PASS	1	Incr_release.202408	Pseudomonas aeruginosa PAO1	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33269495.fa.gz	
SAMN33269496	SRR23437149	ERZ26476729	seqkit.v0.1_DLS_k0_00d2fde5d884043e7126bf0ebabdb5bb	PASS	1	Incr_release.202408	Pseudomonas aeruginosa PAO1	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33269496.fa.gz	
SAMN33269497	SRR23437169	ERZ26476734	seqkit.v0.1_DLS_k0_e195b354633767ab697eecea6e7d04ea	PASS	1	Incr_release.202408	Pseudomonas aeruginosa PAO1	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33269497.fa.gz	
SAMN33269498	SRR23437168	ERZ26476739	seqkit.v0.1_DLS_k0_963f5dbba26cf85f072f9d4f5fcf246d	PASS	1	Incr_release.202408	Pseudomonas aeruginosa PAO1	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33269498.fa.gz	
SAMN33270376	SRR23476194	ERZ26476744	seqkit.v0.1_DLS_k0_bbdf341430c15a82f6afabc7677cf397	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33270376.fa.gz	
SAMN33285577	SRR23455298	ERZ26477181	seqkit.v0.1_DLS_k0_12bc671d8931d6a39620e8677f46c937	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33285577.fa.gz	
SAMN33285578	SRR23455297	ERZ26477187	seqkit.v0.1_DLS_k0_202698025f99032cecdf533ebfd2b404	PASS	1	Incr_release.202408	Pseudomonas aeruginosa	Pseudomonas aeruginosa	T	Pseudomonas aeruginosa	PASS	PASS	atb.assembly.incr_release.202408.batch.146.tar.xz	https://osf.io/download/66d9b6faf69050cdc3a3d1d2/	https://allthebacteria-assemblies.s3.eu-west-2.amazonaws.com/SAMN33285578.fa.gz	
