>SAMEA6262319.contig00014 len=105750
>SAMEA6262320.contig00017 len=105374
>SAMN33269494.contig00010 len=251845
>SAMN33269494.contig00013 len=219389
>SAMN33269495.contig00010 len=251845
>SAMN33269495.contig00013 len=219389
>SAMN33269496.contig00010 len=239998
>SAMN33269496.contig00013 len=219389
>SAMN33269497.contig00011 len=239998
>SAMN33269497.contig00012 len=220723
>SAMN33269498.contig00010 len=251845
>SAMN33269498.contig00013 len=219389
>SAMN33270376.contig00014 len=150985
>SAMN33270376.contig00016 len=143637
>SAMN33270376.contig00018 len=139793
>SAMN33270376.contig00020 len=127964
>SAMN33270376.contig00023 len=123833
>SAMN33270376.contig00025 len=118449
>SAMN33270376.contig00030 len=98030
>SAMN33270376.contig00034 len=76223
>SAMN33270376.contig00038 len=66372
>SAMN33270376.contig00041 len=61599
>SAMN33270376.contig00043 len=56405
>SAMN33270376.contig00045 len=50005
>SAMN33270376.contig00049 len=29352
>SAMN33270376.contig00054 len=20211
>SAMN33270376.contig00056 len=18063
>SAMN33270376.contig00057 len=17752
>SAMN33270376.contig00058 len=17642
>SAMN33270376.contig00062 len=9066
>SAMN33270376.contig00065 len=7675
>SAMN33270376.contig00072 len=4523
>SAMN33270376.contig00083 len=1876
>SAMN33270376.contig00086 len=1678
>SAMN33270376.contig00089 len=1633
>SAMN33285577.contig00004 len=207031
>SAMN33285577.contig00011 len=149588
>SAMN33285577.contig00024 len=96381
>SAMN33285577.contig00031 len=85037
>SAMN33285577.contig00032 len=84773
>SAMN33285577.contig00036 len=77183
>SAMN33285577.contig00043 len=65157
>SAMN33285577.contig00044 len=65123
>SAMN33285577.contig00048 len=61449
>SAMN33285577.contig00050 len=58271
>SAMN33285577.contig00051 len=54361
>SAMN33285577.contig00061 len=41402
>SAMN33285577.contig00071 len=26690
>SAMN33285577.contig00072 len=26452
>SAMN33285577.contig00074 len=25032
>SAMN33285577.contig00083 len=14772
>SAMN33285577.contig00088 len=8945
>SAMN33285577.contig00098 len=5318
>SAMN33285577.contig00103 len=2817
>SAMN33285578.contig00001 len=346869
>SAMN33285578.contig00025 len=92668
>SAMN33285578.contig00028 len=91284
>SAMN33285578.contig00042 len=62439
>SAMN33285578.contig00048 len=44231
>SAMN33285578.contig00051 len=39643
>SAMN33285578.contig00053 len=36433
>SAMN33285578.contig00056 len=31967
>SAMN33285578.contig00057 len=31751
>SAMN33285578.contig00062 len=19819
>SAMN33285578.contig00063 len=19587
>SAMN33285578.contig00066 len=17706
>SAMN33285578.contig00067 len=17127
>SAMN33285578.contig00073 len=11757
>SAMN33285578.contig00075 len=10982
>SAMN33285578.contig00076 len=9016
>SAMN33285578.contig00077 len=8991
>SAMN33285578.contig00086 len=5712
>SAMN33285578.contig00089 len=5012
>SAMN33285578.contig00090 len=4889
>SAMN33285578.contig00092 len=4627
>SAMN33285578.contig00093 len=4400
>SAMN33285578.contig00098 len=3515
>SAMN33285578.contig00102 len=3276
>SAMN33285578.contig00108 len=2551
>SAMN33285578.contig00109 len=2542
>SAMN33285585.contig00006 len=382789
>SAMN33285585.contig00007 len=325669
>SAMN33285585.contig00010 len=242764
>SAMN33285585.contig00012 len=226717
>SAMN33285585.contig00017 len=172452
>SAMN33285585.contig00028 len=59107
>SAMN33285585.contig00037 len=6104
>SAMN33285585.contig00038 len=5733
>SAMN33285585.contig00040 len=3729
>SAMN33285589.contig00005 len=242792
>SAMN33285589.contig00006 len=226244
>SAMN33285589.contig00007 len=213461
>SAMN33285589.contig00010 len=167666
>SAMN33285589.contig00014 len=148488
>SAMN33285589.contig00018 len=136609
>SAMN33285589.contig00030 len=93297
>SAMN33285589.contig00034 len=82236
>SAMN33285589.contig00043 len=56204
>SAMN33285589.contig00044 len=50604
>SAMN33285589.contig00051 len=30728
>SAMN33285589.contig00054 len=26678
>SAMN33285589.contig00057 len=25439
>SAMN33285589.contig00058 len=22310
>SAMN33285589.contig00059 len=16967
>SAMN33285589.contig00061 len=12728
>SAMN33285589.contig00063 len=7859
>SAMN33285589.contig00066 len=6646
>SAMN33285589.contig00068 len=5234
>SAMN33285589.contig00071 len=2673
>SAMN33285589.contig00105 len=412
>SAMN33285589.contig00107 len=394
>SAMN33285590.contig00009 len=242792
>SAMN33285590.contig00013 len=179069
>SAMN33285590.contig00014 len=158453
>SAMN33285590.contig00017 len=120368
>SAMN33285590.contig00023 len=104887
>SAMN33285590.contig00033 len=56187
>SAMN33285590.contig00044 len=16888
>SAMN33285590.contig00046 len=13491
>SAMN33285590.contig00047 len=11282
>SAMN33285590.contig00050 len=7859
>SAMN33285590.contig00051 len=6646
>SAMN33285590.contig00052 len=5234
>SAMN33285590.contig00055 len=3517
>SAMN33285590.contig00057 len=2673
>SAMN33285590.contig00084 len=522
>SAMN33285604.contig00004 len=211908
>SAMN33285604.contig00010 len=116897
>SAMN33285604.contig00022 len=81292
>SAMN33285604.contig00039 len=55937
>SAMN33285604.contig00050 len=45573
>SAMN33285604.contig00060 len=39757
>SAMN33285604.contig00069 len=31986
>SAMN33285604.contig00070 len=31957
>SAMN33285604.contig00074 len=28349
>SAMN33285604.contig00077 len=27174
>SAMN33285604.contig00085 len=23679
>SAMN33285604.contig00101 len=15943
>SAMN33285604.contig00122 len=11636
>SAMN33285604.contig00142 len=6564
>SAMN33285604.contig00144 len=6375
>SAMN33285604.contig00149 len=5045
>SAMN33285656.contig00015 len=157202
>SAMN33285656.contig00019 len=142857
>SAMN33285656.contig00029 len=76200
>SAMN33285656.contig00044 len=30003
>SAMN33285656.contig00046 len=25410
>SAMN33285656.contig00047 len=24574
>SAMN33285656.contig00051 len=16662
>SAMN33285656.contig00054 len=15449
>SAMN33285656.contig00055 len=14711
>SAMN33285656.contig00058 len=11734
>SAMN33285656.contig00061 len=8303
>SAMN33285656.contig00062 len=7783
>SAMN33285656.contig00063 len=7762
>SAMN33285656.contig00067 len=6453
>SAMN33285656.contig00075 len=3036
>SAMN33285656.contig00092 len=1192
>SAMN33285656.contig00117 len=636
>SAMN33285657.contig00016 len=157191
>SAMN33285657.contig00021 len=136245
>SAMN33285657.contig00022 len=129337
>SAMN33285657.contig00024 len=106880
>SAMN33285657.contig00027 len=101766
>SAMN33285657.contig00028 len=100635
>SAMN33285657.contig00033 len=76200
>SAMN33285657.contig00037 len=71208
>SAMN33285657.contig00043 len=60027
>SAMN33285657.contig00056 len=28605
>SAMN33285657.contig00057 len=25609
>SAMN33285657.contig00058 len=24574
>SAMN33285657.contig00061 len=19330
>SAMN33285657.contig00062 len=16662
>SAMN33285657.contig00066 len=14711
>SAMN33285657.contig00068 len=14373
>SAMN33285657.contig00077 len=7783
>SAMN33285657.contig00078 len=7762
>SAMN33285657.contig00088 len=3498
>SAMN33285657.contig00090 len=3036
>SAMN33285657.contig00108 len=1192
>SAMN33285657.contig00134 len=636
>SAMN33304703.contig00009 len=188414
>SAMN33304703.contig00010 len=182437
>SAMN33304703.contig00013 len=171818
>SAMN33304703.contig00021 len=110265
>SAMN33304703.contig00027 len=87926
>SAMN33304703.contig00030 len=81316
>SAMN33304703.contig00033 len=69703
>SAMN33304703.contig00043 len=44405
>SAMN33304703.contig00045 len=44245
>SAMN33304703.contig00048 len=41241
>SAMN33304703.contig00056 len=30241
>SAMN33304703.contig00057 len=29552
>SAMN33304703.contig00061 len=21859
>SAMN33304703.contig00066 len=13609
>SAMN33304703.contig00068 len=13004
>SAMN33304703.contig00072 len=10221
>SAMN33304703.contig00074 len=8883
>SAMN33304703.contig00076 len=8380
>SAMN33304703.contig00077 len=7662
>SAMN33304703.contig00078 len=7121
